agent_a,agent_b,tier_a,tier_b,seed,seat_of_a,bank_a,bank_b,margin_a,winner
melon_mateo,rancher_rita,4,5,7000,0,16711,45914,-29203,rancher_rita
melon_mateo,rancher_rita,4,5,7000,1,16711,45914,-29203,rancher_rita
melon_mateo,rancher_rita,4,5,7001,0,43142,50353,-7211,rancher_rita
melon_mateo,rancher_rita,4,5,7001,1,45713,60755,-15042,rancher_rita
melon_mateo,rancher_rita,4,5,7002,0,14861,51029,-36168,rancher_rita
melon_mateo,rancher_rita,4,5,7002,1,14861,51029,-36168,rancher_rita
melon_mateo,broker_bea,4,6,7000,0,23463,183123,-159660,broker_bea
melon_mateo,broker_bea,4,6,7000,1,23463,182986,-159523,broker_bea
melon_mateo,broker_bea,4,6,7001,0,22161,173537,-151376,broker_bea
melon_mateo,broker_bea,4,6,7001,1,22161,173452,-151291,broker_bea
melon_mateo,broker_bea,4,6,7002,0,23473,172362,-148889,broker_bea
melon_mateo,broker_bea,4,6,7002,1,23473,171380,-147907,broker_bea
melon_mateo,slotter_silas,4,8,7000,0,23388,182364,-158976,slotter_silas
melon_mateo,slotter_silas,4,8,7000,1,23388,182223,-158835,slotter_silas
melon_mateo,slotter_silas,4,8,7001,0,22026,172852,-150826,slotter_silas
melon_mateo,slotter_silas,4,8,7001,1,22026,172764,-150738,slotter_silas
melon_mateo,slotter_silas,4,8,7002,0,23398,171446,-148048,slotter_silas
melon_mateo,slotter_silas,4,8,7002,1,23398,170470,-147072,slotter_silas
melon_mateo,ledger_lena,4,7,7000,0,23424,183713,-160289,ledger_lena
melon_mateo,ledger_lena,4,7,7000,1,23424,183570,-160146,ledger_lena
melon_mateo,ledger_lena,4,7,7001,0,22126,173831,-151705,ledger_lena
melon_mateo,ledger_lena,4,7,7001,1,22126,173745,-151619,ledger_lena
melon_mateo,ledger_lena,4,7,7002,0,23434,172788,-149354,ledger_lena
melon_mateo,ledger_lena,4,7,7002,1,23434,171019,-147585,ledger_lena
melon_mateo,closer_cleo,4,9,7000,0,23341,173225,-149884,closer_cleo
melon_mateo,closer_cleo,4,9,7000,1,23341,171796,-148455,closer_cleo
melon_mateo,closer_cleo,4,9,7001,0,25321,166753,-141432,closer_cleo
melon_mateo,closer_cleo,4,9,7001,1,23856,172485,-148629,closer_cleo
melon_mateo,closer_cleo,4,9,7002,0,23360,166463,-143103,closer_cleo
melon_mateo,closer_cleo,4,9,7002,1,23360,164762,-141402,closer_cleo
rancher_rita,broker_bea,5,6,7000,0,28370,170674,-142304,broker_bea
rancher_rita,broker_bea,5,6,7000,1,28407,170681,-142274,broker_bea
rancher_rita,broker_bea,5,6,7001,0,17045,138681,-121636,broker_bea
rancher_rita,broker_bea,5,6,7001,1,17243,138017,-120774,broker_bea
rancher_rita,broker_bea,5,6,7002,0,16105,136831,-120726,broker_bea
rancher_rita,broker_bea,5,6,7002,1,16107,136637,-120530,broker_bea
rancher_rita,slotter_silas,5,8,7000,0,28167,169425,-141258,slotter_silas
rancher_rita,slotter_silas,5,8,7000,1,28204,169432,-141228,slotter_silas
rancher_rita,slotter_silas,5,8,7001,0,16835,137604,-120769,slotter_silas
rancher_rita,slotter_silas,5,8,7001,1,17036,136937,-119901,slotter_silas
rancher_rita,slotter_silas,5,8,7002,0,15911,135794,-119883,slotter_silas
rancher_rita,slotter_silas,5,8,7002,1,15910,135599,-119689,slotter_silas
rancher_rita,ledger_lena,5,7,7000,0,27838,170873,-143035,ledger_lena
rancher_rita,ledger_lena,5,7,7000,1,27875,170880,-143005,ledger_lena
rancher_rita,ledger_lena,5,7,7001,0,17177,138751,-121574,ledger_lena
rancher_rita,ledger_lena,5,7,7001,1,17388,138079,-120691,ledger_lena
rancher_rita,ledger_lena,5,7,7002,0,16248,136289,-120041,ledger_lena
rancher_rita,ledger_lena,5,7,7002,1,16248,136091,-119843,ledger_lena
rancher_rita,closer_cleo,5,9,7000,0,23206,159581,-136375,closer_cleo
rancher_rita,closer_cleo,5,9,7000,1,23204,159689,-136485,closer_cleo
rancher_rita,closer_cleo,5,9,7001,0,22335,151050,-128715,closer_cleo
rancher_rita,closer_cleo,5,9,7001,1,22336,150945,-128609,closer_cleo
rancher_rita,closer_cleo,5,9,7002,0,15239,136270,-121031,closer_cleo
rancher_rita,closer_cleo,5,9,7002,1,15236,135976,-120740,closer_cleo
broker_bea,slotter_silas,6,8,7000,0,134825,138385,-3560,slotter_silas
broker_bea,slotter_silas,6,8,7000,1,134241,138969,-4728,slotter_silas
broker_bea,slotter_silas,6,8,7001,0,112572,118380,-5808,slotter_silas
broker_bea,slotter_silas,6,8,7001,1,112627,118325,-5698,slotter_silas
broker_bea,slotter_silas,6,8,7002,0,132907,136836,-3929,slotter_silas
broker_bea,slotter_silas,6,8,7002,1,134033,135717,-1684,slotter_silas
broker_bea,ledger_lena,6,7,7000,0,134647,139140,-4493,ledger_lena
broker_bea,ledger_lena,6,7,7000,1,133960,139946,-5986,ledger_lena
broker_bea,ledger_lena,6,7,7001,0,111458,117889,-6431,ledger_lena
broker_bea,ledger_lena,6,7,7001,1,111513,117834,-6321,ledger_lena
broker_bea,ledger_lena,6,7,7002,0,132571,137747,-5176,ledger_lena
broker_bea,ledger_lena,6,7,7002,1,133904,136079,-2175,ledger_lena
broker_bea,closer_cleo,6,9,7000,0,143966,145664,-1698,closer_cleo
broker_bea,closer_cleo,6,9,7000,1,143451,146950,-3499,closer_cleo
broker_bea,closer_cleo,6,9,7001,0,149418,153329,-3911,closer_cleo
broker_bea,closer_cleo,6,9,7001,1,149565,153182,-3617,closer_cleo
broker_bea,closer_cleo,6,9,7002,0,111397,119819,-8422,closer_cleo
broker_bea,closer_cleo,6,9,7002,1,112126,114539,-2413,closer_cleo
slotter_silas,ledger_lena,8,7,7000,0,137683,135145,2538,slotter_silas
slotter_silas,ledger_lena,8,7,7000,1,137054,135905,1149,slotter_silas
slotter_silas,ledger_lena,8,7,7001,0,115044,111582,3462,slotter_silas
slotter_silas,ledger_lena,8,7,7001,1,115098,111528,3570,slotter_silas
slotter_silas,ledger_lena,8,7,7002,0,134139,134891,-752,ledger_lena
slotter_silas,ledger_lena,8,7,7002,1,135459,133226,2233,slotter_silas
slotter_silas,closer_cleo,8,9,7000,0,142474,145576,-3102,closer_cleo
slotter_silas,closer_cleo,8,9,7000,1,141996,146852,-4856,closer_cleo
slotter_silas,closer_cleo,8,9,7001,0,148251,152658,-4407,closer_cleo
slotter_silas,closer_cleo,8,9,7001,1,148400,152509,-4109,closer_cleo
slotter_silas,closer_cleo,8,9,7002,0,109878,119060,-9182,closer_cleo
slotter_silas,closer_cleo,8,9,7002,1,110690,113746,-3056,closer_cleo
ledger_lena,closer_cleo,7,9,7000,0,143952,145125,-1173,closer_cleo
ledger_lena,closer_cleo,7,9,7000,1,143403,146389,-2986,closer_cleo
ledger_lena,closer_cleo,7,9,7001,0,149285,152733,-3448,closer_cleo
ledger_lena,closer_cleo,7,9,7001,1,149433,152585,-3152,closer_cleo
ledger_lena,closer_cleo,7,9,7002,0,111034,119175,-8141,closer_cleo
ledger_lena,closer_cleo,7,9,7002,1,111798,113708,-1910,closer_cleo
